540087922,540087922[10.104.69.38],BioStation L2,10.104.69.38,Ethernet
540087909,COM0002 -IS,BioStation L2,10.104.60.100,Ethernet
540280747,COM0003-Audit,BioStation,10.103.5.10,Ethernet
540279288,COM0004,BioStation,10.104.4.43,Ethernet
540279282,COM0005,BioStation,10.104.5.50,Ethernet
63880,COM0006,BioStation,10.103.5.51,Ethernet
540280778,COM0007,BioStation,10.104.5.210,Ethernet
85142,COM0008,BioStation,10.103.5.52,Ethernet
84117,COM0009,BioStation,10.103.5.110,Ethernet
64012,COM0010,BioStation,10.102.68.218,Ethernet
70451,COM0011,BioStation,10.102.68.217,Ethernet
540280758,COM0012,BioStation,10.105.6.60,Ethernet
540095832,COM0013,BioStation L2,10.101.32.63,Ethernet
57323,COM0014,BioLiteNet,10.102.5.45,Ethernet
540280775,COM0015,BioStation,10.102.5.13,Ethernet
540095842,COM0016,BioStation L2,10.102.68.168,Ethernet
540279387,COM0017,BioStation,10.105.4.62,Ethernet
540279287,COM0019,BioStation,10.105.4.54,Ethernet
540095845,COM0020,BioStation L2,10.105.4.55,Ethernet
540095837,COM0022,BioStation L2,10.104.5.247,Ethernet
540095780,COM0024,BioStation L2,10.103.4.44,Ethernet
540095838,COM0025,BioStation L2,10.104.6.197,Ethernet
540279281,COM0027,BioStation,10.102.32.80,Ethernet
540095781,COM0028,BioStation L2,10.101.32.59,Ethernet
540095835,COM0030,BioStation L2,10.103.4.45,Ethernet
540280780,COM0031,BioStation,10.105.4.58,Ethernet
540279992,COM0032,BioStation,10.105.4.161,Ethernet
64008,COM0033,BioStation,10.101.12.60,Ethernet
540280756,COM0034,BioStation,10.101.32.67,Ethernet
85146,COM0037,BioStation,10.103.8.46,Ethernet
540279283,COM0039,BioStation,10.103.4.47,Ethernet
63883,COM0040,BioStation,10.104.56.24,Ethernet
540279386,COM0043,BioStation,10.102.4.81,Ethernet
540279342,COM0044,BioStation,10.102.4.82,Ethernet
540383618,COM0045,BioStation,10.102.5.81,Ethernet
540279464,COM0046,BioStation,10.102.5.51,Ethernet
540279280,COM0047,BioStation,10.102.5.52,Ethernet
540280779,COM0049,BioStation,10.102.4.46,Ethernet
540098032,COM0050,BioStation L2,10.102.4.76,Ethernet
540280781,COM0051,BioStation,10.102.4.48,Ethernet
540087917,COM0053,BioStation L2,10.102.4.98,Ethernet
540095785,COM0054,BioStation L2,10.102.4.55,Ethernet
540087912,COM0055,BioStation L2,10.101.5.50,Ethernet
60637,COM0056,BioStation,10.101.7.42,Ethernet
540095844,COM0057,BioStation L2,10.101.12.46,Ethernet
540087978,COM0058,BioStation L2,10.101.4.48,Ethernet
540279357,COM0059,BioStation,10.105.4.56,Ethernet
540383624,COM0060,BioStation,10.102.4.77,Ethernet
540095775,COM0061,BioStation L2,10.104.5.116,Ethernet
63878,COM0062,BioStation,10.103.4.65,Ethernet
540095783,COM0063,BioStation L2,10.102.4.57,Ethernet
540095840,COM0064,BioStation L2,10.101.12.49,Ethernet
540095834,COM0065,BioStation L2,10.101.4.50,Ethernet
540280749,COM0066,BioStation,10.102.4.84,Ethernet
540279007,COM0067,BioStation,10.102.6.131,Ethernet
540279343,COM0068,BioStation,10.102.5.99,Ethernet
540280765,COM0069,BioStation,10.103.4.49,Ethernet
540095778,COM0070,BioStation L2,10.102.5.94,Ethernet
540279385,COM0072,BioStation,10.101.4.25,Ethernet
80717,COM0073,BioStation,10.103.5.170,Ethernet
70453,COM0074,BioStation,10.101.4.69,Ethernet
540095839,COM0078,BioStation L2,10.102.32.55,Ethernet
540087919,COM0088,BioStation L2,10.101.32.82,Ethernet
540280206,COM0090,BioStation,10.101.6.11,Ethernet
540086026,COM0091,BioStation L2,10.101.5.60,Ethernet
540087971,COM0092,BioStation L2,10.101.32.47,Ethernet
64010,COM0093,BioStation,10.101.4.68,Ethernet
540280745,COM0094,BioStation,10.102.5.60,Ethernet
540279347,COM0096,BioStation,10.102.5.50,Ethernet
540279384,COM0097,BioStation,10.102.5.66,Ethernet
540280755,COM0098,BioStation,10.102.5.58,Ethernet
540280773,COM0099,BioStation,10.102.5.59,Ethernet
540279838,COM0100,BioStation,10.101.5.20,Ethernet
70458,COM0102,BioStation,10.101.4.67,Ethernet
540279279,COM0103,BioStation,10.101.4.40,Ethernet
540279851,COM0104,BioStation,10.101.4.55,Ethernet
540087913,COM0105,BioStation L2,10.104.5.222,Ethernet
540280776,COM0106,BioStation,10.102.4.64,Ethernet
50789,COM0107,BioStation,10.102.4.78,Ethernet
540279344,COM0108,BioStation,10.102.4.66,Ethernet
540087914,COM0109,BioStation L2,10.102.4.67,Ethernet
540095843,COM0110,BioStation L2,10.102.4.68,Ethernet
70486,COM0112,BioStation,10.105.4.91,Ethernet
540279345,COM0114,BioStation,10.105.4.60,Ethernet
540087923,COM0118,BioStation L2,10.105.4.65,Ethernet
540087915,COM0119,BioStation L2,10.105.4.4,Ethernet
540087969,COM0120,BioStation L2,10.104.5.117,Ethernet
540087972,COM0121,BioStation L2,10.104.5.118,Ethernet
540098552,COM0122,BioStation L2,10.104.5.119,Ethernet
540280782,COM0123,BioStation,10.104.5.120,Ethernet
84124,COM0124,BioStation,10.104.4.233,Ethernet
540279850,COM0125,BioStation,10.104.5.110,Ethernet
540087911,COM0126,BioStation L2,10.104.5.225,Ethernet
540087970,COM0127,BioStation L2,10.104.5.121,Ethernet
85145,COM0128,BioStation,10.104.5.246,Ethernet
540095784,COM0129,BioStation L2,10.104.5.123,Ethernet
540279839,COM0130,BioStation,10.104.6.11,Ethernet
540279461,COM0131,BioStation,10.104.7.118,Ethernet
540279006,COM0134,BioStation,10.105.4.67,Ethernet
540280754,COM0135,BioStation,10.105.4.66,Ethernet
540279284,COM0136,BioStation,10.105.4.82,Ethernet
540280204,COM0139,BioStation,10.105.4.72,Ethernet
540095841,COM0140,BioStation L2,10.101.6.104,Ethernet
540280753,COM0141,BioStation,10.101.6.107,Ethernet
540095777,COM0142,BioStation L2,10.101.6.106,Ethernet
540280777,COM0143,BioStation,10.101.6.105,Ethernet
540280774,COM0144,BioStation,10.101.6.112,Ethernet
540279808,COM0145,BioStation,10.101.6.109,Ethernet
540095772,COM0147,BioStation L2,10.101.32.60,Ethernet
540087973,COM0148,BioStation L2,10.102.5.83,Ethernet
540087910,COM0149,BioStation L2,10.104.5.157,Ethernet
70455,COM0150,BioStation,10.104.5.155,Ethernet
540087920,COM0151,BioStation L2,10.104.5.245,Ethernet
540095833,COM0152,BioStation L2,10.105.12.66,Ethernet
540098031,COM0154,BioStation L2,10.101.32.9,Ethernet
540087918,COM0156,BioStation L2,10.101.20.150,Ethernet
540095836,COM0157,BioStation L2,10.101.20.129,Ethernet
540279348,COM0160,BioStation,10.103.5.130,Ethernet
70482,COM0171,BioStation,10.103.5.105,Ethernet
70488,COM0180,BioStation,10.101.20.134,Ethernet
70487,COM0181,BioStation,10.101.20.132,Ethernet
540280746,COM0183,BioStation,10.102.68.210,Ethernet
540280757,COM0185,BioStation,10.103.6.140,Ethernet
540098444,CPAC OPS ROOM ,BioStation L2,10.101.9.120,Ethernet
540098838,ECT 1,BioStation L2,10.101.10.229,Ethernet
540098551,ECT 2,BioStation L2,10.101.73.24,Ethernet
540098443,Gate no02,BioStation L2,10.101.6.100,Ethernet
540098503,JCT TEMP 1,BioStation L2,10.104.6.231,Ethernet
540098836,JCT TEMP2,BioStation L2,10.104.6.232,Ethernet
540098038,TEMP 1&2 trans.,BioStation L2,10.104.7.201,Ethernet
540098035,TEMP GATE3,BioStation L2,10.102.5.10,Ethernet
540098042,TEMP SERAM GATE,BioStation L2,10.105.5.13,Ethernet
540098043,TEMP UCT ,BioStation L2,10.105.5.10,Ethernet
540098044,Tem CFS1,BioStation L2,10.105.5.11,Ethernet
540098041,gate6,BioStation L2,10.105.5.14,Ethernet
540098045,temp 3 & 4 muster,BioStation L2,10.103.5.200,Ethernet
540279864,temp com 1&2 muster,BioStation,10.104.7.200,Ethernet
